S.No.,Product Name,MRP (Rs.),Pack Size,File Name
1,Acevia Capsules,0,10x10,Innoventis\Acevia 10x10 Capsules.webp
2,Aculinctus Syrup,112.4,100ml,Innoventis\Aculinctus syrup 100 ml.webp
3,Allybenz-5 Tablets,181.5,10x10,Innoventis\Allybenz-5 Tablets.webp
4,Azibenz 100 XL Suspension,97.96,30ml,Innoventis\Azibenz 100 XL Susp.webp
5,Azibenz 200 XL Suspension,109.93,30ml,Innoventis\Azibenz 200 XL Susp 30ml.webp
6,Azibenz 250mg Tablets,75.28,20x1x6,Innoventis\Azibenz 250mg Tablets.webp
7,Azibenz 500mg Tablets,76,20x1x3,Innoventis\Azibenz 500 mg Tablets.webp
8,Becolium 5G Softgel Capsules,234.91,10x1x10,Innoventis\Becolium 5G Softgel Capsules.webp
9,Becolium Capsules,80.43,20x20,Innoventis\Becolium Capsules.webp
10,Becolium-L Capsules,56.71,20x10,Innoventis\Becolium-L Cap.webp
11,Bestorange Syrup,183.7,200ml,Innoventis\Bestorange 200ml.webp
12,Betadron 1mg Injection,5,10x5x1ml,Innoventis\Betadron 1mg Injection.webp
13,Betadron Tablets,16.87,25x20,Innoventis\Betadron 25x20 Tablets.webp
14,Bilanoa 20 Tablets,0,10x1x10,Innoventis\Bilanoa 20 10x1x10 Tablets.webp
15,Broncolium-DM Syrup ,130.45,100ml,Innoventis\Broncolium-DM Syrup 100ml.jpg
16,Broncolium-LS Junior,79.35,60ml,Innoventis\Broncolium-LS Junior 60ml.jpg
17,Broncolium-LS Syrup,120.24,100ml,Innoventis\Broncolium-LS Syrup 100ml.jpg
18,Broncolium-Syrup,124.78,100ml,Innoventis\Broncolium-Syrup 100ml.jpg
19,Budilium 0.5mg Respules,127.95,10x5x2ml,Innoventis\Budilium 0.5mg Respules.webp
20,Burnogard Cream,134.06,20gm,Innoventis\Burnogard Cream 20GM.webp
21,Calcilium K2-7 Softgel Capsules,307.31,10x1x10,Innoventis\Calcilium K2-7 10x1x10 Softgel Capsules.webp
22,Calcilium-500 Tablets,0,20x15,Innoventis\Calcilium-500 20x15 Tablets.webp
23,Calcilium-D3 Max Softgel Capsules,465,10x1x10,Innoventis\Calcilium-D3 Max 10x1x10 Softgel Capsules.webp
24,Canfu Cream 15gm,48.35,15gm,Innoventis\Canfu Cream 15gm.webp
25,Canfu Dusting Powder,118.53,75g,Innoventis\Canfu Dusting powder 3D.webp
26,Canfu Ear Drops,99.8,5ml,Innoventis\Canfu Ear Drops 5ml.webp
27,Canfu-BN Cream,80.4,15gm,Innoventis\Canfu-BN Cream 15gm.webp
28,Canfu-L Cream 30g,371.25,30g,Innoventis\Canfu-L Cream 30g.jpg
29,Canfu-Ultra Ointment,123.75,15gm,Innoventis\Canfu-ULTRA 15gm Ointment.webp
