S.No.,Product Name,Pack Type,MRP (Rs.),Pack Size,Image Path
1,Acipox- 400,Tablets,146.89,10X10,"Ultima\Acipox- 400 10x10 General.webp"""
2,Acipox- 800,Tablets,404.98,10X10,"Ultima\Acipox- 800 10x10 Tablets.webp"""
3,Actigrain-10,Tablets,51.76,20X10,"Ultima\Actigrain-10 20x10 Tablets.webp"""
4,Activert-16,Tablets,106.05,20X10,"Ultima\Activert-16 20x10 Tablets.webp"""
5,Activert-8,Tablets,48.77,10X10,"Ultima\Activert-8 10x10 Tablets.webp"""
6,Amlovent-AT,Tablets,67.37,20X10,"Ultima\Amlovent At 20x10tab Tablets.webp"""
7,Bactofix-100DT,Tablets,118.97,20x10,"Ultima\Bactofix-100dt 20x10 Tablets.webp"""
8,Bactofix-CV 325,Tablets,224.60,10x1x6,"Ultima\Bactofix-CV 325 10x1x6 Tablets.webp"""
9,Becominta-Total,Tablets,136.10,10x1x10,"Ultima\Becominta-Total 10x1x10 Tablets.webp"""
10,Bilotra 20,Tablets,153.14,10x1x10,"Ultima\Bilotra 20 10x1x10 Tablets.webp"""
11,Bilotra-M,Tablets,190.57,10x1x10,"Ultima\Bilotra-M 10x1x10 Tablets.webp"""
12,Bisovent-2.5,Tablets,59.81,20x10,"Ultima\Bisovent-2.5 20x10 Tablets.webp"""
13,Bisovent-5,Tablets,90.75,20x10,"Ultima\BISOVENT 5 tablets 20x10.webp"""
14,Brivitra 50,Tablets,182.81,10x10,"Ultima\Brivitra 50 10x10 Tablets.webp"""
15,Buscovent,Tablets,41.92,20x10,"Ultima\Buscovent 20x10 Tablets.webp"""
16,Calcivent,Tablets,149.70,20x15,"Ultima\Calcivent 20x15 Tablets.webp"""
17,Calcivent-2000,Tablets,342.18,5x2x15,"Ultima\Calcivent-2000 5x2x15 Tablets.webp"""
18,Candivent-VT,Tablets,187.17,10x1x6,"Ultima\Candivent-Vt 10x1x6 Tablets.webp"""
19,Capilate-Plus,Tablets,304.21,10x1x10,"Ultima\Capilate-Plus 10x1x10 Tablets.webp"""
20,Carivent,Tablets,510.46,5x15,"Ultima\Carivent 5x15 Tablets.webp"""
21,Cetrovent-A,Tablets,58.78,20X10,"Ultima\Cetrovent-A 20x10 Tablets.webp"""
22,Chymoride Forte,Tablets,371.25,10x1x20,"Ultima\Chymoride Forte 10x1x20 Tablets.webp"""
23,Cilarol-10,Tablets,112.30,20x10,"Ultima\Cilarol-10 20x10 Tablets.webp"""
24,Cilarol M-25,Tablets,165.00,20x10,"Ultima\CILAROL M-25 20x10 Tablets.webp"""
25,Cilarol M-50,Tablets,180.00,20x10,"Ultima\Cilarol-M 50 20x10 Tablets.webp"""
26,Citiride 500,Tablets,723.73,10x1x10,"Ultima\Citiride-500 10x1x10 Tablets.webp"""
27,Citiride-p Forte,Tablets,805.30,5x1x10,"Ultima\Citiride-p Forte 5x1x10 Tablets.webp"""
